L1_SDR;;;;;;;
01/09/2025 00:00;08/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-01 00:00:00.0;-15,3;1;0;-34;18,8;-15,3;
2025-09-01 00:05:00.0;-15,3;1;0;-34,1;18,8;-15,3;
2025-09-01 00:10:00.0;-15,3;1;0;-33,9;18,6;-15,3;
2025-09-01 00:15:00.0;-15,3;1;0;-34,1;18,8;-15,3;
2025-09-01 00:20:00.0;-15,3;1;0;-34;18,7;-15,3;
2025-09-01 00:25:00.0;-15,3;1;0;-34;18,7;-15,3;
2025-09-01 00:30:00.0;-15,3;1;0;-34;18,7;-15,3;
2025-09-01 00:35:00.0;-15,3;1;0;-34;18,7;-15,3;
2025-09-01 00:40:00.0;-15,3;1;0;-34;18,7;-15,3;
2025-09-01 00:45:00.0;-15,2;1;0;-34;18,8;-15,2;
2025-09-01 00:50:00.0;-15,2;1;0;-33,9;18,7;-15,2;
2025-09-01 00:55:00.0;-15,2;1;0;-33,9;18,6;-15,2;
2025-09-01 01:00:00.0;-15,3;1;0;-34,1;18,9;-15,2;
2025-09-01 01:05:00.0;-15,2;1;0;-33,9;18,7;-15,2;
2025-09-01 01:10:00.0;-15,2;1;0;-34,1;18,9;-15,2;
2025-09-01 01:15:00.0;-15,2;1;0;-33,9;18,7;-15,2;
2025-09-01 01:20:00.0;-15,2;1;0;-34,1;18,9;-15,2;
2025-09-01 01:25:00.0;-15,2;1;0;-34;18,8;-15,2;
2025-09-01 01:30:00.0;-15,2;1;0;-34;18,9;-15,2;
2025-09-01 01:35:00.0;-15,1;1;0;-33,9;18,7;-15,1;
2025-09-01 01:40:00.0;-15,2;1;0;-34;18,9;-15,1;
2025-09-01 01:45:00.0;-15,1;1;0;-34,1;19;-15,1;
2025-09-01 01:50:00.0;-15,2;1;0;-33,9;18,8;-15,1;
2025-09-01 01:55:00.0;-15,1;1;0;-34;18,9;-15,1;
2025-09-01 02:00:00.0;-15,1;1;0;-33,9;18,8;-15,1;
2025-09-01 02:05:00.0;-15,1;1;0;-34;18,9;-15,1;
2025-09-01 02:10:00.0;-15,1;1;0;-34;19;-15,1;
2025-09-01 02:15:00.0;-15,1;1;0;-33,9;18,9;-15;
2025-09-01 02:20:00.0;-15,1;1;0;-33,9;18,9;-15;
2025-09-01 02:25:00.0;-15;1;0;-34,1;19,1;-15;
2025-09-01 02:30:00.0;-15;1;0;-34,1;19,1;-15;
2025-09-01 02:35:00.0;-15;1;0;-33,9;18,9;-15;
2025-09-01 02:40:00.0;-14,9;1;0;-34,1;19,2;-14,9;
2025-09-01 02:45:00.0;-14,9;1;0;-33,9;19;-14,9;
2025-09-01 02:50:00.0;-14,9;1;0;-34,1;19,2;-14,9;
2025-09-01 02:55:00.0;-14,9;1;0;-34;19,1;-14,9;
2025-09-01 03:00:00.0;-14,9;1;0;-34;19,1;-14,9;
2025-09-01 03:05:00.0;-14,9;1;0;-33,9;19,1;-14,8;
2025-09-01 03:10:00.0;-14,8;1;0;-34;19,2;-14,8;
2025-09-01 03:15:00.0;-14,8;1;0;-34,1;19,3;-14,8;
2025-09-01 03:20:00.0;-14,8;1;0;-33,9;19,1;-14,8;
2025-09-01 03:25:00.0;-14,8;1;0;-33,9;19,2;-14,8;
2025-09-01 03:30:00.0;-14,7;1;0;-34;19,3;-14,7;
2025-09-01 03:35:00.0;-14,7;1;0;-34,1;19,4;-14,7;
2025-09-01 03:40:00.0;-14,6;1;0;-34;19,4;-14,6;
2025-09-01 03:45:00.0;-14,3;1;0;-33,9;19,7;-14,2;
2025-09-01 03:50:00.0;-14,4;1;0;-34;19,6;-14,4;
2025-09-01 03:55:00.0;-14,1;1;0;-33,9;19,9;-14,1;
2025-09-01 04:00:00.0;-14,3;1;0;-34,1;19,9;-14,2;
2025-09-01 04:05:00.0;-14,3;1;0;-33,9;19,6;-14,3;
2025-09-01 04:10:00.0;-14,3;1;0;-33,9;19,6;-14,3;
2025-09-01 04:15:00.0;-14,2;1;0;-34;19,8;-14,2;
2025-09-01 04:20:00.0;-13,9;1;0;-33,9;20,1;-13,8;
2025-09-01 04:25:00.0;-14;1;0;-34;20,2;-13,9;
2025-09-01 04:30:00.0;-14,1;1;0;-34,1;20,1;-14;
2025-09-01 04:35:00.0;-14;1;0;-34;20,1;-14;
2025-09-01 04:40:00.0;-13,8;1;0;-33,9;20,2;-13,7;
2025-09-01 04:45:00.0;-13,9;1;0;-34;20,2;-13,8;
2025-09-01 04:50:00.0;-14;1;0;-34;20,2;-13,9;
2025-09-01 04:55:00.0;-13,6;1;0;-34;20,4;-13,6;
2025-09-01 05:00:00.0;-13,3;1;0;-34;20,8;-13,2;
2025-09-01 05:05:00.0;-13,1;1;0;-34,1;21,2;-13;
2025-09-01 05:10:00.0;-12,9;1;0;-33,9;21,2;-12,8;
2025-09-01 05:15:00.0;-12,7;1;0;-34;21,4;-12,6;
2025-09-01 05:20:00.0;-12,4;1;0;-34,1;21,8;-12,3;
2025-09-01 05:25:00.0;-11,9;1;0;-34;22,2;-11,7;
2025-09-01 05:30:00.0;-11,6;1;0;-34;22,7;-11,3;
2025-09-01 05:35:00.0;-11,3;1;0;-34;22,9;-11;
2025-09-01 05:40:00.0;-11,1;1;0;-33,9;22,9;-11;
2025-09-01 05:45:00.0;-12,5;1;0;-34,1;21,9;-12,2;
2025-09-01 05:50:00.0;-13,2;1;0;-34,1;21,1;-13;
2025-09-01 05:55:00.0;-13,7;1;0;-34,1;20,5;-13,5;
2025-09-01 06:00:00.0;-14,1;1;0;-34;20,1;-13,9;
2025-09-01 06:05:00.0;-14,4;1;0;-34;19,8;-14,2;
2025-09-01 06:10:00.0;-14,7;1;0;-34;19,4;-14,6;
2025-09-01 06:15:00.0;-14,8;1;0;-34,1;19,4;-14,7;
2025-09-01 06:20:00.0;-15;1;0;-33,9;19;-14,9;
2025-09-01 06:25:00.0;-15,1;1;0;-34,1;19,1;-15;
2025-09-01 06:30:00.0;-15,2;1;0;-34;18,9;-15,1;
2025-09-01 06:35:00.0;-15,3;1;0;-34;18,8;-15,2;
