Data;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; ;
2025-08-04 00:00:00.0;-20,2;1;0;-29,6;9,4;-20,2;;0
2025-08-04 00:05:00.0;-20,2;1;0;-29,7;9,6;-20,2;;0
2025-08-04 00:10:00.0;-20,2;1;0;-29,9;9,7;-20,2;;0
2025-08-04 00:15:00.0;-20,4;0;0;-28,6;8,4;-20,2;;0
2025-08-04 00:20:00.0;-19,9;0;0;-27,8;7,7;-20,1;;0
2025-08-04 00:25:00.0;-19,5;1;0;-26,7;7,1;-19,7;;0
2025-08-04 00:30:00.0;-20;1;0;-30,5;10,6;-19,9;;0
2025-08-04 00:35:00.0;-20,1;1;0;-30,3;10,2;-20,1;;0
2025-08-04 00:40:00.0;-20,1;1;0;-30,2;10,1;-20,1;;0
2025-08-04 00:45:00.0;-20,2;1;0;-30,2;10;-20,2;;0
2025-08-04 00:50:00.0;-20,2;1;0;-29,2;9,1;-20,1;;0
2025-08-04 00:55:00.0;-20,1;1;0;-29,8;9,7;-20,1;;0
2025-08-04 01:00:00.0;-20,1;1;0;-29,9;9,8;-20,1;;0
2025-08-04 01:05:00.0;-20,1;1;0;-30;9,9;-20,1;;0
2025-08-04 01:10:00.0;-20,1;1;0;-30;9,9;-20,1;;0
2025-08-04 01:15:00.0;-20,1;1;0;-30;9,9;-20,1;;0
2025-08-04 01:20:00.0;-20,1;1;0;-30;10;-20,1;;0
2025-08-04 01:25:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:30:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:35:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:40:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:45:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:50:00.0;-20,1;1;0;-30,1;10;-20,1;;0
2025-08-04 01:55:00.0;-19,9;1;0;-30;10;-19,9;;0
2025-08-04 02:00:00.0;-19,4;1;0;-32;12,7;-19,3;;0
2025-08-04 02:05:00.0;-19,2;1;0;-30,5;11,3;-19,1;;0
2025-08-04 02:10:00.0;-18,9;1;0;-30,3;11,5;-18,8;;0
2025-08-04 02:15:00.0;-18,5;1;0;-30,1;11,7;-18,4;;0
2025-08-04 02:20:00.0;-18,1;1;0;-29,9;12;-17,9;;0
2025-08-04 02:25:00.0;-17,6;1;0;-29,8;12,3;-17,5;;0
2025-08-04 02:30:00.0;-17,4;1;0;-29,6;12,4;-17,2;;0
2025-08-04 02:35:00.0;-17,1;1;0;-29,5;12,6;-17;;0
2025-08-04 02:40:00.0;-16,9;1;0;-29,5;12,7;-16,7;;0
2025-08-04 02:45:00.0;-16,9;1;0;-29,6;12,8;-16,8;;0
2025-08-04 02:50:00.0;-18,7;1;0;-30,5;12;-18,6;;0
2025-08-04 02:55:00.0;-19,3;1;0;-30,8;11,5;-19,4;;0
2025-08-04 03:00:00.0;-19,9;1;0;-31;11,1;-19,9;;0
2025-08-04 03:05:00.0;-20,2;1;0;-31,1;10,9;-20,2;;0
2025-08-04 03:10:00.0;-20,3;1;0;-27,7;7,4;-20,3;;0
2025-08-04 03:15:00.0;-20,1;1;0;-28,4;8,2;-20,2;;0
2025-08-04 03:20:00.0;-20,1;1;0;-29,2;9,1;-20,1;;0
2025-08-04 03:25:00.0;-20,2;1;0;-29,6;9,5;-20,1;;0
2025-08-04 03:30:00.0;-20,2;1;0;-29,1;9;-20,1;;0
2025-08-04 03:35:00.0;-20,2;1;0;-29,6;9,5;-20,1;;0
2025-08-04 03:40:00.0;-20,2;1;0;-29,5;9,3;-20,2;;0
2025-08-04 03:45:00.0;-20,2;1;0;-29,6;9,4;-20,2;;0
2025-08-04 03:50:00.0;-20,2;1;0;-29,8;9,6;-20,2;;0
2025-08-04 03:55:00.0;-20,2;1;0;-29,6;9,4;-20,2;;0
2025-08-04 04:00:00.0;-20,2;1;0;-29,7;9,6;-20,1;;0
2025-08-04 04:05:00.0;-20,1;1;0;-29,8;9,7;-20,1;;0
2025-08-04 04:10:00.0;-20,1;1;0;-29,9;9,8;-20,1;;0
2025-08-04 04:15:00.0;-20,1;1;0;-30;9,9;-20,1;;0
2025-08-04 04:20:00.0;-20,1;1;0;-36,1;15,7;-20,3;;0
2025-08-04 04:25:00.0;-20,2;0;0;-29,6;9,4;-20,2;;0
2025-08-04 04:30:00.0;-19,8;0;0;-22,2;2,5;-19,6;;0
2025-08-04 04:35:00.0;-19,7;1;0;-29,1;9,3;-19,8;;0
2025-08-04 04:40:00.0;-20,2;1;0;-30;9,9;-20,1;;0
2025-08-04 04:45:00.0;-20,1;1;0;-28,9;8,8;-20,1;;0
2025-08-04 04:50:00.0;-20,2;1;0;-29,4;9,3;-20,1;;0
2025-08-04 04:55:00.0;-20,2;1;0;-29,7;9,5;-20,1;;0
2025-08-04 05:00:00.0;-20,2;1;0;-29,9;9,8;-20,1;;0
2025-08-04 05:05:00.0;-20,1;1;0;-29,5;9,4;-20,1;;0
2025-08-04 05:10:00.0;-20,1;1;0;-29,8;9,7;-20,1;;0
2025-08-04 05:15:00.0;-20,1;1;0;-29,9;9,8;-20,1;;0
2025-08-04 05:20:00.0;-20,1;1;0;-30,6;10,5;-20,1;;1
2025-08-04 05:25:00.0;-20,2;0;1;-30,5;10,2;-20,2;;0
2025-08-04 05:30:00.0;-18,3;0;1;-24,4;5,8;-18,6;;0
2025-08-04 05:35:00.0;-17,3;0;1;-23,3;6,6;-16,7;;0
2025-08-04 05:40:00.0;-16,4;0;1;-22,4;7,7;-14,7;;0
2025-08-04 05:45:00.0;-15,6;0;1;-32,5;24,9;-7,6;;0
2025-08-04 05:50:00.0;-14,4;0;1;-31;24,5;-6,5;;0
2025-08-04 05:55:00.0;-13,5;0;1;-30,5;25,1;-5,4;;0
2025-08-04 06:00:00.0;-12,4;0;1;-30,3;26;-4,3;;0
2025-08-04 06:05:00.0;-12;0;1;-30,2;27,1;-3,1;;0
2025-08-04 06:10:00.0;-11,6;0;1;-30,7;28,5;-2,3;;0
2025-08-04 06:15:00.0;-16,1;1;0;-32,6;18,8;-13,8;;0
2025-08-04 06:20:00.0;-17,6;1;0;-30,9;14;-16,9;;0
2025-08-04 06:25:00.0;-18,5;1;0;-30,5;12,3;-18,2;;0
2025-08-04 06:30:00.0;-19,3;1;0;-30,5;11,3;-19,2;;0
2025-08-04 06:35:00.0;-20;1;0;-30,7;10,7;-20;;0
2025-08-04 06:40:00.0;-20,2;1;0;-30,4;10,2;-20,2;;0
2025-08-04 06:45:00.0;-20,3;1;0;-28,5;8,2;-20,3;;0
