Data;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; ;;;
2025-08-11 00:00:00.0;-20,2;1;0;-30,1;10;-20,1;;;;11/08/2025
2025-08-11 00:05:00.0;-20,2;1;0;-30,1;10;-20,1;;;;
2025-08-11 00:10:00.0;-20,1;1;0;-30,1;10;-20,1;;;;
2025-08-11 00:15:00.0;-20,2;1;0;-30;9,9;-20,1;;;;
2025-08-11 00:20:00.0;-20,2;1;0;-30;9,9;-20,1;;;;
2025-08-11 00:25:00.0;-20,1;1;0;-29,9;9,9;-20;;;;
2025-08-11 00:30:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 00:35:00.0;-19,9;1;0;-29,9;10;-19,9;;;;
2025-08-11 00:40:00.0;-19,9;1;0;-29,9;10;-19,8;;;;
2025-08-11 00:45:00.0;-19,9;1;0;-29,9;10;-19,8;;;;
2025-08-11 00:50:00.0;-19,9;1;0;-29,8;10;-19,8;;;;
2025-08-11 00:55:00.0;-19,8;1;0;-29,8;10;-19,8;;;;
2025-08-11 01:00:00.0;-19,9;1;0;-30,6;10,9;-19,8;;;;
2025-08-11 01:05:00.0;-19,9;1;0;-30,2;10,4;-19,8;;;;
2025-08-11 01:10:00.0;-19,9;1;0;-30;10,1;-19,9;;;;
2025-08-11 01:15:00.0;-19,9;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:20:00.0;-19,9;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:25:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:30:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:35:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:40:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:45:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:50:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 01:55:00.0;-20;1;0;-30;10;-19,9;;;;
2025-08-11 02:00:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 02:05:00.0;-20;1;0;-29,9;10;-19,9;;;;
2025-08-11 02:10:00.0;-20;1;0;-30;10;-19,9;;;;
2025-08-11 02:15:00.0;-20;1;0;-30;10;-19,9;;;;
2025-08-11 02:20:00.0;-20,1;1;0;-29,9;10;-20;;;;
2025-08-11 02:25:00.0;-20;1;0;-30;10;-20;;;;
2025-08-11 02:30:00.0;-20;1;0;-30;10;-20;;;;
2025-08-11 02:35:00.0;-20;1;0;-30;10;-20;;;;
2025-08-11 02:40:00.0;-20;1;0;-30;10;-20;;;;
2025-08-11 02:45:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 02:50:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 02:55:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:00:00.0;-20;1;0;-30;10;-20;;;;
2025-08-11 03:05:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:10:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:15:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:20:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:25:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:30:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:35:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:40:00.0;-20,1;1;0;-30;10;-20;;;;
2025-08-11 03:45:00.0;-20,1;1;0;-30;10;-20;;;;
