Data;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-08-18 00:00:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:05:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:10:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:20:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:25:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-18 00:30:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 00:35:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:40:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:45:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 00:50:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-08-18 00:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 01:00:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 01:05:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 01:10:00.0;-20,2;1;0;-30,2;10,1;-20,1;
2025-08-18 01:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 01:20:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 01:25:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-18 01:30:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 01:35:00.0;-20,2;1;0;-29,8;9,7;-20,1;
2025-08-18 01:40:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-18 01:45:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 01:50:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-08-18 01:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:00:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:05:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:10:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:20:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 02:25:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 02:30:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:35:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 02:40:00.0;-20,2;1;0;-29,9;9,8;-20,1;
2025-08-18 02:45:00.0;-20,2;1;0;-30,1;9,9;-20,1;
2025-08-18 02:50:00.0;-20,2;1;0;-30;9,9;-20,1;
2025-08-18 02:55:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 03:00:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 03:05:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-08-18 03:10:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-08-18 03:15:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-08-18 03:20:00.0;-20,2;1;0;-30,1;10;-20,1;
