L1_SDR;;;;;;;
08/09/2025 00:00;15/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-08 00:00:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 00:05:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 00:10:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 00:15:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 00:20:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 00:25:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 00:30:00.0;-20,1;1;0;-29,9;9,9;-20,1;
2025-09-08 00:35:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 00:40:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 00:45:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 00:50:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 00:55:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:00:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 01:05:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:10:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 01:15:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 01:20:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 01:25:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:30:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:35:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:40:00.0;-20,1;1;0;-30,1;9,9;-20,1;
2025-09-08 01:45:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:50:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 01:55:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:00:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:05:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 02:10:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:15:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 02:20:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 02:25:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:30:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 02:35:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:40:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 02:45:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 02:50:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 02:55:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 03:00:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 03:05:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 03:10:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 03:15:00.0;-19,4;1;0;-30,9;11,4;-19,5;
2025-09-08 03:20:00.0;-18,9;1;0;-29,7;11;-18,8;
2025-09-08 03:25:00.0;-18,4;1;0;-29,7;11,6;-18,2;
2025-09-08 03:30:00.0;-18,1;1;0;-29,8;11,9;-17,8;
2025-09-08 03:35:00.0;-17,8;1;0;-29,8;12,3;-17,5;
2025-09-08 03:40:00.0;-17,6;1;0;-29,3;12;-17,3;
2025-09-08 03:45:00.0;-17,4;1;0;-28,5;11,3;-17,2;
2025-09-08 03:50:00.0;-17;1;0;-27,7;10,6;-17,1;
2025-09-08 03:55:00.0;-16,8;1;0;-27,3;10,3;-17;
2025-09-08 04:00:00.0;-16,7;1;0;-26,4;9,5;-16,9;
2025-09-08 04:05:00.0;-17,3;1;0;-27,5;9,6;-17,8;
2025-09-08 04:10:00.0;-18,4;1;1;-28;8,9;-19,1;
2025-09-08 04:15:00.0;-17,4;0;1;-30,5;15,2;-15,3;
2025-09-08 04:20:00.0;-16,4;0;1;-27,5;12,6;-14,8;
2025-09-08 04:25:00.0;-15,6;0;1;-26,3;13;-13,3;
2025-09-08 04:30:00.0;-14,9;0;1;-25,2;13,6;-11,7;
2025-09-08 04:35:00.0;-14;0;1;-25;15,3;-9,6;
2025-09-08 04:40:00.0;-13,7;0;1;-23,9;15,4;-8,5;
2025-09-08 04:45:00.0;-12,9;0;1;-23,7;16,2;-7,6;
2025-09-08 04:50:00.0;-12,7;0;1;-23,7;16,8;-7;
2025-09-08 04:55:00.0;-11,8;0;1;-22,6;16,6;-6;
2025-09-08 05:00:00.0;-13,7;0;0;-32,2;33,4;1,3;
2025-09-08 05:05:00.0;-16,3;1;0;-29,9;15;-15;
2025-09-08 05:10:00.0;-17,5;1;0;-29,8;12,8;-17;
2025-09-08 05:15:00.0;-18,4;1;0;-29,9;11,7;-18,2;
2025-09-08 05:20:00.0;-19,2;1;0;-30;10,8;-19,2;
2025-09-08 05:25:00.0;-19,7;1;0;-30;10,2;-19,7;
2025-09-08 05:30:00.0;-20;1;0;-30,1;10;-20;
2025-09-08 05:35:00.0;-20,2;1;0;-30,1;9,8;-20,3;
2025-09-08 05:40:00.0;-20,2;1;0;-29,6;9,3;-20,3;
2025-09-08 05:45:00.0;-20,2;1;0;-28,2;8,1;-20,1;
2025-09-08 05:50:00.0;-20,1;1;0;-28,8;8,7;-20,1;
2025-09-08 05:55:00.0;-20,1;1;0;-29,1;9;-20,1;
2025-09-08 06:00:00.0;-20,1;1;0;-29,4;9,2;-20,1;
2025-09-08 06:05:00.0;-20,2;1;0;-29,5;9,4;-20,1;
2025-09-08 06:10:00.0;-20,2;1;0;-29,5;9,4;-20,1;
2025-09-08 06:15:00.0;-20,2;1;0;-29,4;9,3;-20,1;
2025-09-08 06:20:00.0;-20,1;1;0;-29,6;9,5;-20,1;
2025-09-08 06:25:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-09-08 06:30:00.0;-20,1;1;0;-30,2;10,1;-20,1;
2025-09-08 06:35:00.0;-20,1;1;0;-30;10;-20,1;
2025-09-08 06:40:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 06:45:00.0;-20,1;1;0;-29,9;9,9;-20,1;
2025-09-08 06:50:00.0;-20,1;1;0;-29,8;9,7;-20,1;
2025-09-08 06:55:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 07:00:00.0;-20,1;1;0;-29,9;9,9;-20,1;
2025-09-08 07:05:00.0;-20,1;1;0;-29,8;9,8;-20,1;
2025-09-08 07:10:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 07:15:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 07:20:00.0;-20,2;1;0;-30;10;-20,1;
2025-09-08 07:25:00.0;-20,2;1;0;-30,1;10;-20,1;
2025-09-08 07:30:00.0;-20,2;1;0;-30,1;9,9;-20,1;
2025-09-08 07:35:00.0;-20,1;1;0;-29,9;9,8;-20,1;
2025-09-08 07:40:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 07:45:00.0;-20,1;1;0;-29,9;9,8;-20,1;
2025-09-08 07:50:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 07:55:00.0;-20,1;1;0;-30;9,9;-20,1;
2025-09-08 08:00:00.0;-20,1;1;0;-30,1;10;-20,1;
2025-09-08 08:05:00.0;-20,2;1;0;-30;9,9;-20,1;
