Data;Comp Cap 1;degelo;SH;Temp Amb 1;Temp evap;Valvula;Comp Cap 2;Temp Amb 2;Temp evap;Valvula
18/06/2025 05:00;82.3;0;11.0;-17.7;-29.1;57.7;64.6;-17.7;-28.7;45.0
18/06/2025 05:05;81.5;0;11.0;-17.8;-29.1;57.3;61.4;-17.8;-29.5;44.6
18/06/2025 05:10;81.0;0;10.9;-17.8;-29.1;56.5;62.8;-17.8;-28.8;55.2
18/06/2025 05:15;80.3;0;11.0;-17.8;-29.1;56.5;63.2;-17.8;-28.8;41.9
18/06/2025 05:20;79.2;0;11.0;-17.8;-29.2;56.5;60.5;-17.8;-29.5;44.2
18/06/2025 05:25;79.2;0;10.9;-17.8;-29.1;55.8;61.9;-17.8;-28.8;54.2
18/06/2025 05:30;78.7;0;11.0;-17.8;-29.1;55.8;62.8;-17.8;-28.7;42.9
18/06/2025 05:35;78.1;0;11.0;-17.9;-29.1;55.8;59.6;-17.9;-29.6;40.8
18/06/2025 05:40;77.7;0;10.9;-17.8;-29.1;55.6;60.0;-17.8;-29.0;52.3
18/06/2025 05:45;77.2;0;10.9;-17.9;-29.1;55.4;61.9;-17.9;-28.5;52.7
18/06/2025 05:50;76.6;0;10.9;-17.9;-29.1;55.2;59.7;-17.9;-29.4;37.3
18/06/2025 05:55;76.4;0;10.9;-17.9;-29.1;55.2;58.8;-17.9;-29.3;47.9
18/06/2025 06:00;76.0;0;10.8;-17.9;-29.0;54.8;60.5;-17.9;-28.6;54.2
18/06/2025 06:05;75.6;0;10.9;-17.9;-29.1;54.8;60.7;-17.9;-28.8;41.3
18/06/2025 06:10;75.1;0;10.8;-17.9;-29.1;54.6;58.0;-17.9;-29.6;39.0
18/06/2025 06:15;74.7;0;10.8;-17.9;-29.1;54.6;58.1;-17.9;-29.2;49.6
18/06/2025 06:20;74.4;0;10.8;-18.0;-29.1;54.6;59.5;-18.0;-28.6;54.2
18/06/2025 06:25;73.9;0;10.8;-18.0;-29.1;54.4;59.6;-18.0;-28.7;41.3
18/06/2025 06:30;76.2;0;11.3;-16.9;-28.5;56.5;60.7;-16.9;-28.8;39.2
18/06/2025 06:35;83.4;0;11.7;-16.1;-28.2;63.1;67.3;-16.1;-28.2;58.8
18/06/2025 06:40;89.9;0;11.9;-14.9;-27.6;71.3;74.0;-14.9;-28.6;45.2
18/06/2025 06:45;89.5;0;11.5;-11.2;-24.9;79.2;88.6;-11.3;-26.9;57.1
18/06/2025 06:50;89.5;0;11.2;-10.8;-24.0;82.9;88.8;-10.8;-28.0;59.0
18/06/2025 06:55;89.7;0;11.0;-10.5;-23.6;84.8;89.3;-10.5;-28.7;60.2
18/06/2025 07:00;88.0;0;10.9;-9.7;-22.9;86.0;89.5;-9.7;-28.7;61.0
18/06/2025 07:05;89.7;0;11.1;-9.6;-23.0;86.7;89.6;-9.6;-29.1;62.7
18/06/2025 07:10;88.0;0;11.8;-8.6;-22.8;85.8;89.7;-8.6;-29.0;64.4
18/06/2025 07:15;89.4;0;13.5;-7.4;-23.1;83.5;89.5;-7.4;-28.4;64.6
18/06/2025 07:20;89.3;0;13.5;-7.5;-23.1;83.3;89.5;-7.5;-28.6;64.0
18/06/2025 07:25;89.3;0;13.8;-7.2;-23.1;82.1;89.5;-7.2;-28.8;60.8
18/06/2025 07:30;89.4;0;14.5;-6.6;-23.1;83.3;88.2;-6.6;-29.0;59.2
18/06/2025 07:35;88.0;0;14.8;-6.5;-22.9;83.8;86.3;-6.5;-29.2;58.5
18/06/2025 07:40;89.7;0;15.2;-6.5;-23.1;84.2;85.7;-6.5;-28.8;57.1
18/06/2025 07:45;89.7;0;15.3;-6.0;-23.1;84.4;87.2;-6.0;-28.5;56.0
18/06/2025 07:50;89.9;0;14.9;-5.7;-23.0;86.3;86.0;-5.7;-29.2;57.7
18/06/2025 07:55;89.9;0;15.1;-5.5;-23.2;86.3;81.2;-5.5;-30.0;57.7
18/06/2025 08:00;90.0;0;14.6;-5.5;-23.4;86.9;79.5;-5.5;-29.9;57.1
18/06/2025 08:05;90.0;0;14.0;-5.5;-23.8;86.7;80.1;-5.5;-29.8;57.9
18/06/2025 08:10;90.0;0;12.8;-5.2;-23.7;88.5;79.1;-5.2;-29.9;57.9
18/06/2025 08:15;90.0;0;10.0;-5.5;-24.5;89.8;77.4;-5.5;-29.8;56.5
18/06/2025 08:20;44.9;1;17.2;-5.4;-31.1;0.0;39.8;-5.4;-31.5;0.0
18/06/2025 08:25;0.0;1;11.9;-1.8;-24.1;0.0;0.0;-1.8;-27.9;0.0
18/06/2025 08:30;0.0;1;13.1;-0.5;-21.9;0.0;0.0;-0.5;-23.7;0.0
18/06/2025 08:35;0.0;1;27.6;-0.1;-30.8;0.0;0.0;-0.1;-29.8;0.0
18/06/2025 08:40;0.0;1;28.0;-0.1;-29.6;0.0;0.0;-0.1;-28.5;0.0
18/06/2025 08:45;0.0;1;28.6;0.0;-28.5;0.0;0.0;0.0;-28.2;0.0
18/06/2025 08:50;0.0;1;30.3;0.2;-28.4;0.0;0.0;0.2;-28.0;0.0
18/06/2025 08:55;0.0;1;31.4;0.7;-27.5;0.0;0.0;0.7;-27.2;0.0
18/06/2025 09:00;0.0;1;32.6;2.3;-27.4;0.0;0.0;2.3;-26.9;0.0
18/06/2025 09:05;0.0;1;34.5;4.0;-28.1;0.0;0.0;4.0;-26.8;0.0
18/06/2025 09:10;84.2;0;32.3;0.5;-29.4;37.1;78.9;1.0;-31.1;32.5
18/06/2025 09:15;88.6;0;22.4;-0.7;-24.6;49.4;88.2;-0.7;-25.2;46.9
18/06/2025 09:20;88.1;0;19.7;-4.1;-23.9;48.1;83.4;-4.2;-24.2;45.0
18/06/2025 09:25;87.7;0;17.6;-6.0;-23.2;49.4;80.2;-6.0;-23.7;43.3
18/06/2025 09:30;87.5;0;17.2;-6.9;-23.8;48.5;83.1;-6.9;-23.5;56.3
18/06/2025 09:35;87.9;0;16.0;-7.5;-23.5;54.6;86.2;-7.5;-23.8;64.0
18/06/2025 09:40;88.2;0;15.5;-8.0;-23.6;60.8;88.1;-8.0;-23.7;71.3
18/06/2025 09:45;88.2;0;15.1;-8.4;-23.7;64.8;88.1;-8.4;-23.8;74.2
18/06/2025 09:50;88.6;0;14.9;-8.8;-23.9;67.3;88.3;-8.8;-24.0;74.0
18/06/2025 09:55;88.6;0;14.5;-9.1;-23.8;70.8;88.5;-9.1;-23.3;77.1
18/06/2025 10:00;88.4;0;14.1;-8.8;-23.0;75.2;88.4;-8.8;-23.6;80.2
18/06/2025 10:05;88.3;0;14.3;-8.6;-23.0;74.8;87.9;-8.6;-23.0;78.8
18/06/2025 10:10;88.6;0;14.7;-8.5;-23.1;74.2;88.3;-8.5;-23.1;78.1
18/06/2025 10:15;88.8;0;14.7;-8.6;-23.5;74.2;88.3;-8.6;-24.0;75.2
18/06/2025 10:20;88.7;0;14.8;-8.7;-23.4;74.8;88.4;-8.7;-23.3;76.3
18/06/2025 10:25;88.8;0;14.6;-9.1;-23.9;74.4;88.9;-9.1;-24.0;81.7
18/06/2025 10:30;88.0;0;12.6;-9.7;-22.8;82.9;88.6;-9.7;-25.1;75.4
18/06/2025 10:35;89.2;0;12.8;-10.1;-23.4;81.9;88.4;-10.1;-25.3;68.5
18/06/2025 10:40;89.2;0;12.7;-10.4;-23.7;81.5;89.3;-10.4;-25.8;74.8
18/06/2025 10:45;89.3;0;12.7;-10.6;-24.0;81.3;88.7;-10.6;-27.0;69.4
18/06/2025 10:50;89.7;0;11.7;-10.7;-23.5;85.8;89.2;-10.7;-26.6;67.5
18/06/2025 10:55;89.8;0;10.9;-10.8;-23.3;87.1;89.4;-10.8;-27.7;69.4
18/06/2025 11:00;88.3;0;10.4;-10.9;-23.3;85.4;88.2;-10.9;-27.1;66.9
18/06/2025 11:05;59.5;0;11.4;-10.8;-22.8;59.8;61.5;-10.8;-23.1;55.8
18/06/2025 11:10;47.5;0;12.2;-10.5;-22.8;40.8;46.4;-10.5;-22.9;41.7
18/06/2025 11:15;43.9;0;12.7;-10.1;-22.9;20.4;43.9;-10.1;-23.0;31.9
18/06/2025 11:20;45.2;0;13.6;-9.6;-23.2;15.2;45.5;-9.6;-22.9;27.7
18/06/2025 11:25;47.2;0;13.6;-9.3;-23.0;15.8;47.4;-9.3;-23.0;25.8
18/06/2025 11:30;49.4;0;14.0;-9.2;-23.3;17.9;49.7;-9.2;-23.2;26.3
18/06/2025 11:35;52.0;0;14.1;-9.1;-23.3;21.0;52.4;-9.1;-23.4;28.8
18/06/2025 11:40;52.4;0;14.3;-8.9;-23.1;24.8;0.0;-8.9;-12.1;0.0
18/06/2025 11:45;50.9;0;14.1;-8.8;-22.9;25.2;33.7;-8.8;-10.1;55.2
18/06/2025 11:50;89.4;0;15.6;-9.9;-25.8;75.4;88.9;-9.9;-27.3;61.3
18/06/2025 11:55;90.0;0;8.4;-11.4;-24.4;87.5;89.2;-11.4;-29.3;52.9
18/06/2025 12:00;90.0;0;7.8;-12.2;-25.3;89.8;84.0;-12.2;-29.6;53.1
18/06/2025 12:05;90.0;0;8.4;-11.8;-24.5;91.3;86.1;-11.8;-28.3;56.5
18/06/2025 12:10;89.9;0;6.5;-10.6;-24.4;81.7;89.9;-10.6;-28.7;60.0
18/06/2025 12:15;90.0;0;9.2;-8.2;-24.0;89.2;90.0;-8.3;-28.8;71.0
18/06/2025 12:20;90.0;0;7.9;-9.5;-23.4;93.1;90.0;-9.5;-28.4;72.1
18/06/2025 12:25;90.0;0;8.3;-8.8;-23.2;89.0;89.3;-8.8;-28.8;61.5
18/06/2025 12:30;89.4;0;8.0;-10.6;-25.3;80.2;81.4;-10.6;-30.3;61.5
18/06/2025 12:35;89.7;0;9.2;-10.5;-25.5;80.6;79.8;-10.5;-29.9;65.4
18/06/2025 12:40;89.9;0;10.0;-9.8;-25.4;82.3;81.1;-9.8;-29.7;70.4
18/06/2025 12:45;90.0;0;10.1;-10.5;-26.0;81.5;81.7;-10.5;-29.7;75.0
18/06/2025 12:50;90.0;0;10.4;-10.8;-26.6;80.6;79.4;-10.8;-29.7;75.8
18/06/2025 12:55;90.0;0;10.6;-10.6;-26.8;80.0;78.4;-10.6;-29.8;74.6
18/06/2025 13:00;90.0;0;10.2;-11.5;-27.7;77.1;76.1;-11.5;-30.3;70.8
18/06/2025 13:05;90.0;0;10.4;-11.7;-28.4;75.0;71.9;-11.7;-30.3;58.3
18/06/2025 13:10;90.0;0;11.4;-10.3;-27.0;79.8;79.6;-10.3;-28.1;57.5
18/06/2025 13:15;90.0;0;11.3;-12.1;-28.5;78.1;77.2;-12.1;-28.3;61.9
18/06/2025 13:20;87.5;0;12.0;-12.5;-29.5;76.3;69.8;-12.5;-29.8;74.0
18/06/2025 13:25;84.7;0;10.6;-12.2;-29.5;69.2;69.0;-12.2;-29.6;52.7
18/06/2025 13:30;83.1;0;11.9;-13.2;-29.1;73.5;69.0;-13.2;-28.3;76.9
18/06/2025 13:35;78.4;0;10.8;-13.5;-29.7;67.7;63.1;-13.5;-30.3;52.1
18/06/2025 13:40;77.6;0;12.0;-13.4;-28.9;71.3;64.2;-13.4;-28.5;73.5
18/06/2025 13:45;78.9;0;10.9;-13.0;-29.0;68.8;65.9;-13.0;-29.1;50.0
18/06/2025 13:50;0.0;1;8.8;-12.2;-26.0;0.0;0.0;-12.2;-29.2;0.0
18/06/2025 13:55;0.0;1;15.8;-11.0;-25.8;0.0;0.0;-11.0;-21.7;0.0
18/06/2025 14:00;0.0;1;16.9;-9.9;-24.5;0.0;28.9;-9.9;-22.5;0.0
18/06/2025 14:05;0.0;1;18.8;-6.9;-23.6;0.0;0.0;-6.9;-27.4;0.0
18/06/2025 14:10;0.0;1;18.9;-6.4;-22.1;0.0;0.0;-6.4;-26.9;0.0
18/06/2025 14:15;0.0;1;31.6;-4.6;-31.6;0.0;0.0;-4.6;-26.0;0.0
18/06/2025 14:20;0.0;1;32.3;-3.0;-31.3;0.0;0.0;-3.0;-25.4;0.0
18/06/2025 14:25;0.0;1;33.7;-1.2;-31.0;0.0;0.0;-1.2;-24.1;0.0
18/06/2025 14:30;0.0;1;35.4;-0.6;-31.6;0.0;0.0;-0.6;-23.9;0.0
18/06/2025 14:35;88.0;0;37.2;-0.3;-24.9;6.9;86.3;-0.3;-23.5;1.9
18/06/2025 14:40;85.3;0;17.0;-6.3;-22.1;46.9;83.3;-6.3;-22.2;49.2
18/06/2025 14:45;85.3;0;15.5;-8.4;-23.1;54.4;81.1;-8.4;-22.7;51.3
18/06/2025 14:50;88.3;0;15.2;-9.4;-24.2;59.6;85.4;-9.4;-24.2;49.6
18/06/2025 14:55;88.0;0;13.0;-10.2;-23.2;74.4;85.0;-10.2;-22.7;71.9
18/06/2025 15:00;88.6;0;12.9;-10.6;-23.6;75.0;88.1;-10.6;-23.7;71.7
18/06/2025 15:05;89.0;0;12.1;-11.5;-23.9;79.6;88.6;-11.5;-23.7;77.9
18/06/2025 15:10;89.1;0;9.5;-12.2;-23.0;86.0;88.7;-12.2;-23.2;81.5
18/06/2025 15:15;89.5;0;8.9;-12.8;-23.5;86.0;89.1;-12.8;-23.7;81.7
18/06/2025 15:20;89.1;0;8.8;-13.2;-23.9;84.0;88.5;-13.2;-23.5;77.1
18/06/2025 15:25;89.8;0;8.7;-13.6;-24.2;84.4;89.7;-13.6;-25.0;84.0
18/06/2025 15:30;89.9;0;8.8;-13.9;-24.6;83.3;88.7;-13.9;-24.2;72.9
18/06/2025 15:35;89.4;0;9.1;-13.8;-24.6;82.1;89.4;-13.8;-25.1;83.5
18/06/2025 15:40;89.1;0;9.5;-13.5;-24.5;81.5;88.0;-13.5;-23.9;71.9
18/06/2025 15:45;89.8;0;9.8;-13.3;-24.6;81.7;90.0;-13.3;-24.8;85.0
18/06/2025 15:50;89.3;0;9.9;-13.3;-24.6;80.8;88.2;-13.3;-23.8;73.1
18/06/2025 15:55;88.5;0;10.2;-13.1;-24.5;80.0;88.8;-13.1;-24.4;84.6
18/06/2025 16:00;89.2;0;10.4;-12.8;-24.5;80.4;87.8;-12.8;-23.7;72.9
18/06/2025 16:05;88.4;0;10.3;-12.9;-24.5;79.4;88.9;-12.9;-24.0;85.2
18/06/2025 16:10;79.9;0;9.9;-13.8;-24.7;71.9;76.5;-13.8;-23.3;67.7
18/06/2025 16:15;83.2;0;10.4;-14.3;-25.7;71.7;74.7;-14.3;-24.7;67.9
18/06/2025 16:20;83.1;0;10.6;-14.7;-26.1;69.8;80.5;-14.7;-25.2;74.8
18/06/2025 16:25;81.4;0;10.7;-14.8;-26.1;67.9;82.9;-14.8;-24.9;76.5
18/06/2025 16:30;80.5;0;11.0;-14.1;-25.7;67.7;80.4;-14.1;-24.1;70.8
18/06/2025 16:35;79.7;0;10.9;-14.6;-26.0;66.7;75.4;-14.6;-24.5;63.5
18/06/2025 16:40;81.5;0;10.9;-15.0;-26.5;66.3;74.2;-15.0;-25.1;62.5
18/06/2025 16:45;90.0;0;11.7;-14.9;-27.4;71.9;89.8;-14.9;-27.2;75.0
18/06/2025 16:50;90.0;0;11.2;-15.4;-27.7;73.1;90.0;-15.4;-26.9;81.0
18/06/2025 16:55;90.0;0;11.0;-15.7;-27.8;73.1;90.0;-15.7;-27.1;66.9
18/06/2025 17:00;90.0;0;10.9;-15.7;-27.9;72.7;90.0;-15.7;-28.1;76.3
18/06/2025 17:05;90.0;0;10.9;-15.9;-28.1;71.7;90.0;-15.9;-27.1;77.1
18/06/2025 17:10;90.0;0;10.9;-16.1;-28.2;70.6;89.1;-16.1;-27.3;64.4
18/06/2025 17:15;90.0;0;11.0;-16.2;-28.5;70.2;89.3;-16.2;-28.0;64.8
18/06/2025 17:20;90.0;0;11.0;-16.3;-28.6;69.6;90.0;-16.3;-28.2;77.1
18/06/2025 17:25;90.0;0;11.0;-16.4;-28.7;68.8;90.0;-16.4;-27.6;72.9
18/06/2025 17:30;90.0;0;11.1;-16.5;-28.9;68.3;89.2;-16.5;-28.0;62.3
18/06/2025 17:35;90.0;0;11.0;-16.7;-29.0;67.9;89.4;-16.7;-28.9;67.5
18/06/2025 17:40;89.6;0;11.1;-16.8;-29.1;67.5;89.9;-16.8;-28.8;74.0
18/06/2025 17:45;89.1;0;11.1;-16.8;-29.2;67.1;90.0;-16.8;-28.2;74.8
18/06/2025 17:50;87.9;0;11.1;-16.9;-29.2;66.5;89.4;-16.9;-28.0;63.1
18/06/2025 17:55;86.4;0;11.0;-17.0;-29.2;65.8;89.4;-17.0;-28.8;61.0
18/06/2025 18:00;87.8;0;11.3;-16.3;-28.7;67.3;89.6;-16.3;-28.7;71.3
18/06/2025 18:05;88.1;0;11.1;-16.6;-29.1;67.7;90.0;-16.6;-28.5;75.8
18/06/2025 18:10;87.6;0;11.1;-16.5;-28.9;68.1;90.0;-16.5;-27.7;74.2
18/06/2025 18:15;90.0;0;11.4;-15.1;-28.2;71.3;88.7;-15.1;-26.8;64.6
18/06/2025 18:20;90.0;0;11.0;-16.1;-28.8;70.8;90.0;-16.1;-28.8;73.8
18/06/2025 18:25;90.0;0;11.0;-16.4;-29.1;70.4;90.0;-16.4;-28.0;78.3
18/06/2025 18:30;88.8;0;10.8;-16.7;-29.2;68.8;89.5;-16.7;-27.9;65.0
18/06/2025 18:35;86.4;0;10.9;-16.8;-29.3;67.7;89.5;-16.8;-28.8;61.0
18/06/2025 18:40;84.0;0;10.8;-17.0;-29.2;66.5;88.2;-17.0;-29.6;66.7
18/06/2025 18:45;82.0;0;10.8;-17.0;-29.2;65.0;87.9;-17.0;-29.6;72.1
18/06/2025 18:50;80.6;0;10.8;-17.1;-29.1;63.3;88.9;-17.1;-29.0;74.4
18/06/2025 18:55;79.8;0;11.0;-16.8;-29.0;62.9;89.6;-16.8;-28.5;72.7
18/06/2025 19:00;82.9;0;10.7;-16.3;-28.1;62.7;88.9;-16.3;-27.5;65.4
18/06/2025 19:05;85.5;0;11.3;-16.0;-28.8;67.5;87.4;-16.0;-28.0;61.7
18/06/2025 19:10;85.5;0;10.9;-16.5;-29.1;67.3;88.3;-16.5;-29.1;66.7
18/06/2025 19:15;88.0;0;11.3;-15.1;-28.5;69.6;88.5;-15.1;-27.7;75.0
18/06/2025 19:20;88.6;0;11.3;-14.6;-28.0;71.9;88.9;-14.6;-26.1;80.0
18/06/2025 19:25;88.8;0;11.1;-14.1;-27.6;73.5;85.0;-14.1;-25.8;65.8
18/06/2025 19:30;88.7;0;11.1;-13.2;-27.3;74.8;84.0;-13.2;-26.3;74.2
18/06/2025 19:35;90.0;0;11.4;-11.7;-26.8;77.5;90.0;-11.7;-24.8;87.3
18/06/2025 19:40;90.0;0;11.4;-10.8;-26.4;81.0;88.8;-10.8;-25.3;77.5
18/06/2025 19:45;90.0;0;10.9;-11.0;-26.5;81.0;90.0;-11.0;-23.8;85.6
18/06/2025 19:50;90.0;0;10.6;-12.6;-27.5;79.2;90.0;-12.6;-26.9;81.3
18/06/2025 19:55;90.0;0;10.6;-13.5;-28.6;76.0;90.0;-13.5;-26.4;82.9
18/06/2025 20:00;90.0;0;10.9;-13.9;-28.8;75.6;89.1;-13.9;-27.4;69.0
18/06/2025 20:05;87.7;0;10.9;-14.3;-29.2;73.1;90.0;-14.3;-28.8;79.8
18/06/2025 20:10;85.6;0;10.9;-14.9;-29.4;72.1;90.0;-15.0;-28.0;77.7
18/06/2025 20:15;80.9;0;10.8;-15.5;-29.5;69.8;89.8;-15.5;-28.7;64.8
18/06/2025 20:20;77.9;0;10.8;-15.6;-29.4;68.1;88.4;-15.6;-29.5;64.4
18/06/2025 20:25;74.4;0;10.8;-15.9;-29.4;66.7;83.9;-15.9;-30.1;70.0
18/06/2025 20:30;71.5;0;10.9;-16.1;-29.3;65.8;80.9;-16.1;-30.1;71.5
18/06/2025 20:35;69.5;0;10.8;-16.2;-29.2;65.2;79.0;-16.2;-30.0;71.7
18/06/2025 20:40;68.4;0;10.8;-16.3;-29.1;64.4;77.8;-16.3;-29.9;70.8
18/06/2025 20:45;67.5;0;10.8;-16.3;-29.1;64.2;76.9;-16.3;-29.9;67.5
18/06/2025 20:50;66.7;0;10.8;-16.4;-29.1;64.2;76.3;-16.4;-29.9;64.0
18/06/2025 20:55;66.4;0;10.7;-16.4;-29.1;63.8;77.7;-16.4;-29.2;57.7
18/06/2025 21:00;65.9;0;10.7;-16.5;-29.1;63.3;77.6;-16.5;-29.1;57.1
18/06/2025 21:05;65.4;0;10.7;-16.4;-29.0;63.8;77.9;-16.4;-28.5;59.4
18/06/2025 21:10;70.3;0;11.5;-13.6;-28.1;68.5;85.6;-13.6;-27.2;63.5
18/06/2025 21:15;0.0;1;9.1;-11.4;-26.2;0.0;0.0;-11.4;-28.6;0.0
18/06/2025 21:20;0.0;1;15.8;-10.8;-26.6;0.0;37.3;-10.8;-26.0;0.0
18/06/2025 21:25;0.0;1;17.3;-10.6;-25.5;0.0;0.0;-10.6;-26.0;0.0
18/06/2025 21:30;0.0;1;19.0;-10.3;-24.2;0.0;0.0;-10.3;-24.9;0.0
18/06/2025 21:35;0.0;1;19.3;-6.5;-22.5;0.0;0.0;-6.1;-23.8;0.0
18/06/2025 21:40;0.0;1;32.7;-5.0;-32.3;0.0;0.0;-5.0;-22.8;0.0
18/06/2025 21:45;0.0;1;33.7;-4.1;-31.8;0.0;0.0;-3.9;-31.7;0.0
18/06/2025 21:50;0.0;1;35.9;-1.8;-32.2;0.0;0.0;-1.6;-31.0;0.0
18/06/2025 21:55;0.0;1;36.5;-0.2;-31.5;0.0;0.0;-0.2;-30.5;0.0
18/06/2025 22:00;45.6;1;26.8;-0.1;-28.4;35.2;53.6;-0.1;-27.4;30.0
18/06/2025 22:05;88.1;0;18.1;-6.6;-24.8;51.7;88.1;-6.5;-25.5;47.9
18/06/2025 22:10;86.6;0;16.1;-9.2;-24.2;49.0;82.5;-9.2;-24.5;47.1
18/06/2025 22:15;88.5;0;12.8;-11.2;-24.1;75.8;88.0;-11.2;-22.8;77.1
18/06/2025 22:20;88.6;0;10.0;-12.3;-23.0;83.3;87.0;-12.3;-23.9;72.3
18/06/2025 22:25;89.2;0;9.9;-13.2;-24.1;81.9;88.9;-13.2;-23.4;81.5
18/06/2025 22:30;89.5;0;9.3;-13.5;-23.9;84.2;89.2;-13.5;-23.1;83.5
18/06/2025 22:35;89.2;0;8.8;-14.2;-24.5;82.5;89.1;-14.2;-23.8;84.0
18/06/2025 22:40;89.9;0;9.1;-14.7;-25.1;81.3;88.9;-14.7;-24.4;77.9
18/06/2025 22:45;90.0;0;9.3;-15.1;-25.6;79.6;90.0;-15.1;-24.5;84.6
18/06/2025 22:50;89.5;0;9.4;-15.4;-26.0;77.1;88.6;-15.4;-25.3;74.8
18/06/2025 22:55;89.7;0;9.8;-15.6;-26.5;75.6;89.9;-15.6;-25.5;82.5
18/06/2025 23:00;90.0;0;10.0;-15.9;-26.9;74.4;88.9;-15.9;-25.7;72.1
18/06/2025 23:05;89.4;0;10.1;-16.0;-27.0;72.3;89.6;-16.0;-26.0;80.0
18/06/2025 23:10;89.9;0;10.3;-16.3;-27.4;71.5;89.8;-16.3;-25.7;75.8
18/06/2025 23:15;89.9;0;10.5;-16.4;-27.7;70.6;89.1;-16.4;-26.6;73.5
18/06/2025 23:20;89.7;0;10.5;-16.6;-27.8;69.0;89.9;-16.6;-26.5;79.6
18/06/2025 23:25;89.8;0;10.6;-16.7;-28.1;67.7;89.0;-16.7;-26.5;69.4
18/06/2025 23:30;89.8;0;10.7;-16.9;-28.3;66.7;89.3;-16.9;-27.2;75.0
18/06/2025 23:35;90.0;0;10.9;-16.7;-28.3;66.9;90.0;-16.7;-26.4;79.0
18/06/2025 23:40;90.0;0;10.9;-17.0;-28.5;66.0;89.7;-17.0;-26.8;69.6
18/06/2025 23:45;90.0;0;10.8;-17.1;-28.7;65.2;90.0;-17.1;-27.4;76.9
18/06/2025 23:50;89.8;0;10.8;-17.3;-28.8;63.8;89.6;-17.3;-26.8;72.3
18/06/2025 23:55;89.6;0;10.9;-17.4;-29.0;63.1;89.1;-17.4;-27.4;67.3
19/06/2025 00:00;89.2;0;11.0;-17.5;-29.1;62.5;90.0;-17.5;-27.9;75.2
19/06/2025 00:05;87.8;0;10.9;-17.6;-29.2;61.7;90.0;-17.6;-27.4;76.5
19/06/2025 00:10;86.1;0;10.9;-17.7;-29.2;60.8;89.6;-17.7;-27.4;67.3
19/06/2025 00:15;84.3;0;10.9;-17.8;-29.2;59.6;90.0;-17.8;-28.2;73.1
19/06/2025 00:20;82.6;0;10.9;-17.8;-29.2;58.1;90.0;-17.8;-27.7;76.7
19/06/2025 00:25;81.1;0;10.8;-17.8;-29.2;56.5;88.9;-17.8;-27.5;66.5
19/06/2025 00:30;79.5;0;10.8;-17.9;-29.2;55.0;88.7;-17.9;-28.1;69.4
19/06/2025 00:35;77.7;0;10.8;-17.9;-29.2;53.8;90.0;-17.9;-28.1;75.2
19/06/2025 00:40;75.8;0;10.8;-18.0;-29.2;52.5;90.0;-18.0;-27.6;73.3
19/06/2025 00:45;74.2;0;10.9;-18.0;-29.2;51.5;89.6;-18.0;-27.9;66.3
19/06/2025 00:50;72.6;0;10.8;-18.0;-29.2;50.2;89.9;-18.0;-28.4;73.8
19/06/2025 00:55;71.1;0;10.8;-18.0;-29.2;49.4;90.0;-18.0;-27.9;76.0
